program,fractal,degree,constant_real,constant_imag,radius,max_iterations,horizontal_samples,vertical_samples,lower_real,lower_imag,upper_real,upper_imag,runtime,threads,grid_size
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16,16,-2.000000,-2.000000,2.000000,2.000000,0.181578,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,32,32,-2.000000,-2.000000,2.000000,2.000000,0.182539,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,64,64,-2.000000,-2.000000,2.000000,2.000000,0.181082,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,128,128,-2.000000,-2.000000,2.000000,2.000000,0.180519,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,256,256,-2.000000,-2.000000,2.000000,2.000000,0.180762,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,512,512,-2.000000,-2.000000,2.000000,2.000000,0.181149,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1024,1024,-2.000000,-2.000000,2.000000,2.000000,0.183118,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,2048,2048,-2.000000,-2.000000,2.000000,2.000000,0.185438,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,4096,4096,-2.000000,-2.000000,2.000000,2.000000,0.194701,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,8192,8192,-2.000000,-2.000000,2.000000,2.000000,0.233110,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16384,16384,-2.000000,-2.000000,2.000000,2.000000,0.378111,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10,10,-2.000000,-2.000000,2.000000,2.000000,0.181960,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,100,100,-2.000000,-2.000000,2.000000,2.000000,0.181311,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1000,1000,-2.000000,-2.000000,2.000000,2.000000,0.182120,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.255081,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.259652,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16,16,-2.000000,-2.000000,2.000000,2.000000,0.180576,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,32,32,-2.000000,-2.000000,2.000000,2.000000,0.181193,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,64,64,-2.000000,-2.000000,2.000000,2.000000,0.180743,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,128,128,-2.000000,-2.000000,2.000000,2.000000,0.180668,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,256,256,-2.000000,-2.000000,2.000000,2.000000,0.180022,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,512,512,-2.000000,-2.000000,2.000000,2.000000,0.180490,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1024,1024,-2.000000,-2.000000,2.000000,2.000000,0.182633,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,2048,2048,-2.000000,-2.000000,2.000000,2.000000,0.184774,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,4096,4096,-2.000000,-2.000000,2.000000,2.000000,0.193109,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,8192,8192,-2.000000,-2.000000,2.000000,2.000000,0.233158,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16384,16384,-2.000000,-2.000000,2.000000,2.000000,0.378821,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10,10,-2.000000,-2.000000,2.000000,2.000000,0.181038,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,100,100,-2.000000,-2.000000,2.000000,2.000000,0.181219,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1000,1000,-2.000000,-2.000000,2.000000,2.000000,0.182419,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.255225,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.258732,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16,16,-2.000000,-2.000000,2.000000,2.000000,0.180994,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,32,32,-2.000000,-2.000000,2.000000,2.000000,0.182920,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,64,64,-2.000000,-2.000000,2.000000,2.000000,0.181851,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,128,128,-2.000000,-2.000000,2.000000,2.000000,0.181572,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,256,256,-2.000000,-2.000000,2.000000,2.000000,0.181826,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,512,512,-2.000000,-2.000000,2.000000,2.000000,0.181987,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1024,1024,-2.000000,-2.000000,2.000000,2.000000,0.182353,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,2048,2048,-2.000000,-2.000000,2.000000,2.000000,0.184669,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,4096,4096,-2.000000,-2.000000,2.000000,2.000000,0.194613,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,8192,8192,-2.000000,-2.000000,2.000000,2.000000,0.232032,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16384,16384,-2.000000,-2.000000,2.000000,2.000000,0.380220,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10,10,-2.000000,-2.000000,2.000000,2.000000,0.181675,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,100,100,-2.000000,-2.000000,2.000000,2.000000,0.180827,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1000,1000,-2.000000,-2.000000,2.000000,2.000000,0.183750,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.255903,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.257403,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16,16,-2.000000,-2.000000,2.000000,2.000000,0.182840,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,32,32,-2.000000,-2.000000,2.000000,2.000000,0.181995,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,64,64,-2.000000,-2.000000,2.000000,2.000000,0.181526,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,128,128,-2.000000,-2.000000,2.000000,2.000000,0.182753,1,1
